"area","month","date","threshold","q_common_tail","q_forward_tail","wedge"
"EZ",124,2021-04-01,4,0.169067613909252,0.165389653970599,-0.00367795993865311
"US",124,2021-04-01,4,0.312063342628122,0.322905701157718,0.0108423585295965
"EZ",125,2021-05-01,4,0.142065022403261,0.132239798868796,-0.0098252235344648
"US",125,2021-05-01,4,0.250536625156548,0.256294428363832,0.00575780320728444
"EZ",126,2021-06-01,4,0.143313429184889,0.145544732714742,0.00223130352985222
"US",126,2021-06-01,4,0.372108491544406,0.380958366634819,0.00884987509041246
"EZ",127,2021-07-01,4,0.2090116211194,0.207553605540084,-0.00145801557931679
"US",127,2021-07-01,4,0.357326079808191,0.362790555613174,0.00546447580498298
"EZ",128,2021-08-01,4,0.219704836487551,0.234504558969049,0.0147997224814983
"US",128,2021-08-01,4,0.366385297531863,0.378654880268916,0.0122695827370531
"EZ",129,2021-09-01,4,0.265391726660305,0.290902425192692,0.0255106985323867
"US",129,2021-09-01,4,0.377341329511519,0.388307090520458,0.0109657610089399
"EZ",130,2021-10-01,4,0.115726324799444,0.136225136341503,0.0204988115420596
"US",130,2021-10-01,4,0.385939390864709,0.393863572442617,0.00792418157790841
"EZ",131,2021-11-01,4,0.125276188057957,0.123752628911306,-0.00152355914665118
"US",131,2021-11-01,4,0.273502633805292,0.267826548508667,-0.00567608529662539
"EZ",132,2021-12-01,4,0.116544357211588,0.114853944244492,-0.00169041296709595
"US",132,2021-12-01,4,0.355433478690644,0.376340338778265,0.0209068600876209
"EZ",133,2022-01-01,4,0.328065307281141,0.329863539378221,0.00179823209708044
"US",133,2022-01-01,4,0.357138335915167,0.376297024467909,0.0191586885527418
"EZ",134,2022-02-01,4,0.327566744966861,0.329375614843136,0.00180886987627536
"US",134,2022-02-01,4,0.379866684867883,0.390824276139961,0.0109575912720783
"EZ",135,2022-03-01,4,0.327127619279466,0.333594735902572,0.00646711662310575
"US",135,2022-03-01,4,0.297535913194815,0.304055309501099,0.0065193963062848
"EZ",136,2022-04-01,4,0.407975241603608,0.413358564111351,0.00538332250774334
"US",136,2022-04-01,4,0.324631091804862,0.33483478591425,0.0102036941093875
"EZ",137,2022-05-01,4,0.39432894730271,0.404460623904369,0.0101316766016593
"US",137,2022-05-01,4,0.322853611462445,0.330058353411271,0.00720474194882582
"EZ",138,2022-06-01,4,0.363376064370948,0.386412265780779,0.0230362014098308
"US",138,2022-06-01,4,0.319029548409048,0.327551810497101,0.00852226208805277
"EZ",139,2022-07-01,4,0.363726412897468,0.367327173837237,0.00360076093976926
"US",139,2022-07-01,4,0.390403034315788,0.397753385645267,0.0073503513294794
"EZ",140,2022-08-01,4,0.377401341768075,0.386469679167105,0.00906833739903005
"US",140,2022-08-01,4,0.40238703317283,0.409969502332877,0.00758246916004676
"EZ",141,2022-09-01,4,0.365992704684197,0.374070745609266,0.00807804092506897
"US",141,2022-09-01,4,0.370037574929653,0.381247110291881,0.0112095353622284
